*NODE    ; Nodes
; iNO, X, Y, Z
401,0.5,1,1
402,1,1,1
403,1,1,0.5
404,1,1,0
405,0.5,1,0
406,0,1,1.5
407,0,1,2
408,0.5,1,2
409,1,1,2
410,1,1,1.5
411,0,1,2.5
412,0,1,3
413,0.5,1,3
414,1,1,3
415,1,1,2.5
416,1.5,1,1
417,2,1,1
418,2,1,0.5
419,2,1,0
420,1.5,1,0
421,1.5,1,2
422,2,1,2
423,2,1,1.5
424,1.5,1,3
425,2,1,3
426,2,1,2.5
427,2.5,1,1
428,3,1,1
429,3,1,0.5
430,3,1,0
431,2.5,1,0
432,2.5,1,2
433,3,1,2
434,3,1,1.5
435,2.5,1,3
436,3,1,3
437,3,1,2.5
438,3.5,1,1
439,4,1,1
440,4,1,0.5
441,4,1,0
442,3.5,1,0
443,3.5,1,2
444,4,1,2
445,4,1,1.5
446,3.5,1,3
447,4,1,3
448,4,1,2.5
449,4.5,1,1
450,5,1,1
451,5,1,0.5
452,5,1,0
453,4.5,1,0
454,4.5,1,2
455,5,1,2
456,5,1,1.5
457,4.5,1,3
458,5,1,3
459,5,1,2.5
460,5.5,1,1
461,6,1,1
462,6,1,0.5
463,6,1,0
464,5.5,1,0
465,5.5,1,2
466,6,1,2
467,6,1,1.5
468,5.5,1,3
469,6,1,3
470,6,1,2.5
471,7,-4,3
472,7,-4,2.5
473,7,-4,2
474,7,-3.5,2
475,7,-3,2
476,7,-3,2.5
477,7,-3,3
478,7,-3.5,3
479,7,-2.5,2
480,7,-2,2
481,7,-2,2.5
482,7,-2,3
483,7,-2.5,3
484,7,-1.5,2
485,7,-1,2
486,7,-1,2.5
487,7,-1,3
488,7,-1.5,3
489,7,-0.5,2
490,7,-0,2
491,7,-0,2.5
492,7,-0,3
493,7,-0.5,3
494,7,-4,1.5
495,7,-4,1
496,7,-3.5,1
497,7,-3,1
498,7,-3,1.5
499,7,-2.5,1
500,7,-2,1
501,7,-2,1.5
502,7,-1.5,1
503,7,-1,1
504,7,-1,1.5
505,7,-0.5,1
506,7,-0,1
507,7,-0,1.5
508,7,-4,0.5
509,7,-4,0
510,7,-3.5,0
511,7,-3,0
512,7,-3,0.5
513,7,-2.5,0
514,7,-2,0
515,7,-2,0.5
516,7,-1.5,0
517,7,-1,0
518,7,-1,0.5
519,7,-0.5,0
520,7,-0,0
521,7,-0,0.5
522,0,-0,-1
523,0.5,-0,-1
524,1,-0,-1
525,1,-0.5,-1
526,1,-1,-1
527,0.5,-1,-1
528,0,-1,-1
529,0,-0.5,-1
530,1.5,-0,-1
531,2,-0,-1
532,2,-0.5,-1
533,2,-1,-1
534,1.5,-1,-1
535,2.5,-0,-1
536,3,-0,-1
537,3,-0.5,-1
538,3,-1,-1
539,2.5,-1,-1
540,3.5,-0,-1
541,4,-0,-1
542,4,-0.5,-1
543,4,-1,-1
544,3.5,-1,-1
545,4.5,-0,-1
546,5,-0,-1
547,5,-0.5,-1
548,5,-1,-1
549,4.5,-1,-1
550,5.5,-0,-1
551,6,-0,-1
552,6,-0.5,-1
553,6,-1,-1
554,5.5,-1,-1
555,1,-1.5,-1
556,1,-2,-1
557,0.5,-2,-1
558,0,-2,-1
559,0,-1.5,-1
560,2,-1.5,-1
561,2,-2,-1
562,1.5,-2,-1
563,3,-1.5,-1
564,3,-2,-1
565,2.5,-2,-1
566,4,-1.5,-1
567,4,-2,-1
568,3.5,-2,-1
569,5,-1.5,-1
570,5,-2,-1
571,4.5,-2,-1
572,6,-1.5,-1
573,6,-2,-1
574,5.5,-2,-1
575,1,-2.5,-1
576,1,-3,-1
577,0.5,-3,-1
578,0,-3,-1
579,0,-2.5,-1
580,2,-2.5,-1
581,2,-3,-1
582,1.5,-3,-1
583,3,-2.5,-1
584,3,-3,-1
585,2.5,-3,-1
586,4,-2.5,-1
587,4,-3,-1
588,3.5,-3,-1
589,5,-2.5,-1
590,5,-3,-1
591,4.5,-3,-1
592,6,-2.5,-1
593,6,-3,-1
594,5.5,-3,-1
595,1,-3.5,-1
596,1,-4,-1
597,0.5,-4,-1
598,0,-4,-1
599,0,-3.5,-1
600,2,-3.5,-1
601,2,-4,-1
602,1.5,-4,-1
603,3,-3.5,-1
604,3,-4,-1
605,2.5,-4,-1
606,4,-3.5,-1
607,4,-4,-1
608,3.5,-4,-1
609,5,-3.5,-1
610,5,-4,-1
611,4.5,-4,-1
612,6,-3.5,-1
613,6,-4,-1
614,5.5,-4,-1

*ELEMENT    ; Elements
; iEL, TYPE, iMAT, iPRO, iN1, iN2, iN3, iN4, iSUB, iWID , LCAXIS    ; Planar Element
1,PLATE,1,1,1,8,9,2,1, 0
2,PLATE,1,1,2,9,10,3,1, 0
3,PLATE,1,1,3,10,11,4,1, 0
4,PLATE,1,1,4,11,12,5,1, 0
5,PLATE,1,1,5,12,13,6,1, 0
6,PLATE,1,1,6,13,14,7,1, 0
7,PLATE,1,1,8,34,35,9,1, 0
8,PLATE,1,1,9,35,36,10,1, 0
9,PLATE,1,1,10,36,37,11,1, 0
10,PLATE,1,1,11,37,38,12,1, 0
11,PLATE,1,1,12,38,39,13,1, 0
12,PLATE,1,1,13,39,40,14,1, 0
13,PLATE,1,1,34,54,55,35,1, 0
14,PLATE,1,1,35,55,56,36,1, 0
15,PLATE,1,1,36,56,57,37,1, 0
16,PLATE,1,1,37,57,58,38,1, 0
17,PLATE,1,1,38,58,59,39,1, 0
18,PLATE,1,1,39,59,60,40,1, 0
19,PLATE,1,1,54,74,75,55,1, 0
20,PLATE,1,1,55,75,76,56,1, 0
21,PLATE,1,1,56,76,77,57,1, 0
22,PLATE,1,1,57,77,78,58,1, 0
23,PLATE,1,1,58,78,79,59,1, 0
24,PLATE,1,1,59,79,80,60,1, 0
25,PLATE,1,1,1,2,97,94,1, 0
26,PLATE,1,1,94,97,98,95,1, 0
27,PLATE,1,1,95,98,99,96,1, 0
28,PLATE,1,1,2,3,109,97,1, 0
29,PLATE,1,1,97,109,110,98,1, 0
30,PLATE,1,1,98,110,111,99,1, 0
31,PLATE,1,1,3,4,118,109,1, 0
32,PLATE,1,1,109,118,119,110,1, 0
33,PLATE,1,1,110,119,120,111,1, 0
34,PLATE,1,1,4,5,127,118,1, 0
35,PLATE,1,1,118,127,128,119,1, 0
36,PLATE,1,1,119,128,129,120,1, 0
37,PLATE,1,1,5,6,136,127,1, 0
38,PLATE,1,1,127,136,137,128,1, 0
39,PLATE,1,1,128,137,138,129,1, 0
40,PLATE,1,1,6,7,145,136,1, 0
41,PLATE,1,1,136,145,146,137,1, 0
42,PLATE,1,1,137,146,147,138,1, 0
43,PLATE,1,1,80,79,157,154,1, 0
44,PLATE,1,1,154,157,158,155,1, 0
45,PLATE,1,1,155,158,159,156,1, 0
46,PLATE,1,1,79,78,169,157,1, 0
47,PLATE,1,1,157,169,170,158,1, 0
48,PLATE,1,1,158,170,171,159,1, 0
49,PLATE,1,1,78,77,178,169,1, 0
50,PLATE,1,1,169,178,179,170,1, 0
51,PLATE,1,1,170,179,180,171,1, 0
52,PLATE,1,1,77,76,187,178,1, 0
53,PLATE,1,1,178,187,188,179,1, 0
54,PLATE,1,1,179,188,189,180,1, 0
55,PLATE,1,1,76,75,196,187,1, 0
56,PLATE,1,1,187,196,197,188,1, 0
57,PLATE,1,1,188,197,198,189,1, 0
58,PLATE,1,1,75,74,205,196,1, 0
59,PLATE,1,1,196,205,206,197,1, 0
60,PLATE,1,1,197,206,207,198,1, 0
61,PLATE,1,1,96,95,217,214,1, 0
62,PLATE,1,1,214,217,218,215,1, 0
63,PLATE,1,1,215,218,219,216,1, 0
64,PLATE,1,1,216,219,206,207,1, 0
65,PLATE,1,1,95,94,231,217,1, 0
66,PLATE,1,1,217,231,232,218,1, 0
67,PLATE,1,1,218,232,233,219,1, 0
68,PLATE,1,1,219,233,205,206,1, 0
69,PLATE,1,1,94,1,8,231,1, 0
70,PLATE,1,1,231,8,34,232,1, 0
71,PLATE,1,1,232,34,54,233,1, 0
72,PLATE,1,1,233,54,74,205,1, 0
73,PLATE,1,1,156,155,247,244,1, 0
74,PLATE,1,1,244,247,248,245,1, 0
75,PLATE,1,1,245,248,249,246,1, 0
76,PLATE,1,1,246,249,146,147,1, 0
77,PLATE,1,1,155,154,261,247,1, 0
78,PLATE,1,1,247,261,262,248,1, 0
79,PLATE,1,1,248,262,263,249,1, 0
80,PLATE,1,1,249,263,145,146,1, 0
81,PLATE,1,1,154,80,60,261,1, 0
82,PLATE,1,1,261,60,40,262,1, 0
83,PLATE,1,1,262,40,14,263,1, 0
84,PLATE,1,1,263,14,7,145,1, 0

*MATERIAL    ; Material
; iMAT, TYPE, MNAME, SPHEAT, HEATCO, PLAST, TUNIT, bMASS, DAMPRATIO, [DATA1]           ; STEEL, CONC, USER
; [DATA1] : 1, STANDARD, CODE/PRODUCT, DB, USEELAST, ELAST
; [DATA1] : 2, ELAST, POISN, THERMAL, DEN, MASS
1,USER,30 MPa,0,0,,C,NO,0.0,2,28000000,0.167,0.00001,24.5,0

*THICKNESS    ; Thickness
1, VALUE,1, YES,0.3, 0, NO, 0, 0

*NL-LINK  ; General Link
; iNO, iNODE1, iNODE2, GPROP, IEPROP, iRCS, ANGLE, GROUP
; iNO, iNODE1, iNODE2, GPROP, IEPROP, iRCS, iMETHOD, ANGLE-x, ANGLE-y, ANGLE-z, GROUP
; iNO, iNODE1, iNODE2, GPROP, IEPROP, iRCS, iMETHOD, P0X, P0Y, P0Z, P1X, P1Y, P1Z, P2X, P2Y, P2Z, GROUP
; iNO, iNODE1, iNODE2, GPROP, IEPROP, iRCS, iMETHOD, V1X, V1Y, V1Z, V2X, V2Y, V2Z, GROUP
1,80,274,ばね特性1,NL_ばね特性1,1,2,0,-1,0,-1,-0,0,
2,162,275,ばね特性4,NL_ばね特性4,1,2,0,-1,0,-1,-0,0,
3,154,276,ばね特性2,NL_ばね特性2,1,2,0,-1,0,-1,-0,0,
4,161,277,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
5,157,278,ばね特性3,NL_ばね特性3,1,2,0,-1,0,-1,-0,0,
6,160,279,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
7,79,280,ばね特性2,NL_ばね特性2,1,2,0,-1,0,-1,-0,0,
8,92,281,ばね特性4,NL_ばね特性4,1,2,0,-1,0,-1,-0,0,
9,165,282,ばね特性4,NL_ばね特性4,1,2,0,-1,0,-1,-0,0,
10,155,283,ばね特性2,NL_ばね特性2,1,2,0,-1,0,-1,-0,0,
11,164,284,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
12,158,285,ばね特性3,NL_ばね特性3,1,2,0,-1,0,-1,-0,0,
13,163,286,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
14,168,287,ばね特性4,NL_ばね特性4,1,2,0,-1,0,-1,-0,0,
15,156,288,ばね特性1,NL_ばね特性1,1,2,0,-1,0,-1,-0,0,
16,167,289,ばね特性4,NL_ばね特性4,1,2,0,-1,0,-1,-0,0,
17,159,290,ばね特性2,NL_ばね特性2,1,2,0,-1,0,-1,-0,0,
18,166,291,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
19,173,292,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
20,169,293,ばね特性3,NL_ばね特性3,1,2,0,-1,0,-1,-0,0,
21,172,294,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
22,78,295,ばね特性2,NL_ばね特性2,1,2,0,-1,0,-1,-0,0,
23,90,296,ばね特性4,NL_ばね特性4,1,2,0,-1,0,-1,-0,0,
24,175,297,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
25,170,298,ばね特性3,NL_ばね特性3,1,2,0,-1,0,-1,-0,0,
26,174,299,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
27,177,300,ばね特性4,NL_ばね特性4,1,2,0,-1,0,-1,-0,0,
28,171,301,ばね特性2,NL_ばね特性2,1,2,0,-1,0,-1,-0,0,
29,176,302,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
30,182,303,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
31,178,304,ばね特性3,NL_ばね特性3,1,2,0,-1,0,-1,-0,0,
32,181,305,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
33,77,306,ばね特性2,NL_ばね特性2,1,2,0,-1,0,-1,-0,0,
34,88,307,ばね特性4,NL_ばね特性4,1,2,0,-1,0,-1,-0,0,
35,184,308,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
36,179,309,ばね特性3,NL_ばね特性3,1,2,0,-1,0,-1,-0,0,
37,183,310,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
38,186,311,ばね特性4,NL_ばね特性4,1,2,0,-1,0,-1,-0,0,
39,180,312,ばね特性2,NL_ばね特性2,1,2,0,-1,0,-1,-0,0,
40,185,313,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
41,191,314,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
42,187,315,ばね特性3,NL_ばね特性3,1,2,0,-1,0,-1,-0,0,
43,190,316,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
44,76,317,ばね特性2,NL_ばね特性2,1,2,0,-1,0,-1,-0,0,
45,86,318,ばね特性4,NL_ばね特性4,1,2,0,-1,0,-1,-0,0,
46,193,319,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
47,188,320,ばね特性3,NL_ばね特性3,1,2,0,-1,0,-1,-0,0,
48,192,321,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
49,195,322,ばね特性4,NL_ばね特性4,1,2,0,-1,0,-1,-0,0,
50,189,323,ばね特性2,NL_ばね特性2,1,2,0,-1,0,-1,-0,0,
51,194,324,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
52,200,325,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
53,196,326,ばね特性3,NL_ばね特性3,1,2,0,-1,0,-1,-0,0,
54,199,327,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
55,75,328,ばね特性2,NL_ばね特性2,1,2,0,-1,0,-1,-0,0,
56,84,329,ばね特性4,NL_ばね特性4,1,2,0,-1,0,-1,-0,0,
57,202,330,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
58,197,331,ばね特性3,NL_ばね特性3,1,2,0,-1,0,-1,-0,0,
59,201,332,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
60,204,333,ばね特性4,NL_ばね特性4,1,2,0,-1,0,-1,-0,0,
61,198,334,ばね特性2,NL_ばね特性2,1,2,0,-1,0,-1,-0,0,
62,203,335,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
63,209,336,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
64,205,337,ばね特性2,NL_ばね特性2,1,2,0,-1,0,-1,-0,0,
65,208,338,ばね特性4,NL_ばね特性4,1,2,0,-1,0,-1,-0,0,
66,74,339,ばね特性1,NL_ばね特性1,1,2,0,-1,0,-1,-0,0,
67,82,340,ばね特性4,NL_ばね特性4,1,2,0,-1,0,-1,-0,0,
68,211,341,ばね特性5,NL_ばね特性5,1,2,0,-1,0,-1,-0,0,
69,206,342,ばね特性2,NL_ばね特性2,1,2,0,-1,0,-1,-0,0,
70,210,343,ばね特性4,NL_ばね特性4,1,2,0,-1,0,-1,-0,0,
71,213,344,ばね特性4,NL_ばね特性4,1,2,0,-1,0,-1,-0,0,
72,207,345,ばね特性1,NL_ばね特性1,1,2,0,-1,0,-1,-0,0,
73,212,346,ばね特性4,NL_ばね特性4,1,2,0,-1,0,-1,-0,0,
74,96,347,ばね特性1~1,NL_ばね特性1~1,1,2,-1,-0,0,0,1,0,
75,108,348,ばね特性4~1,NL_ばね特性4~1,1,2,-1,-0,0,0,1,0,
76,95,349,ばね特性2~1,NL_ばね特性2~1,1,2,-1,-0,0,0,1,0,
77,220,350,ばね特性5~1,NL_ばね特性5~1,1,2,-1,-0,0,0,1,0,
78,217,351,ばね特性3~1,NL_ばね特性3~1,1,2,-1,-0,0,0,1,0,
79,221,352,ばね特性5~2,NL_ばね特性5~2,1,2,-1,-0,0,0,1,0,
80,214,353,ばね特性2~2,NL_ばね特性2~2,1,2,-1,-0,0,0,1,0,
81,222,354,ばね特性4~2,NL_ばね特性4~2,1,2,-1,-0,0,0,1,0,
82,223,355,ばね特性5~3,NL_ばね特性5~3,1,2,-1,-0,0,0,1,0,
83,218,356,ばね特性3~2,NL_ばね特性3~2,1,2,-1,-0,0,0,1,0,
84,224,357,ばね特性5~4,NL_ばね特性5~4,1,2,-1,-0,0,0,1,0,
85,215,358,ばね特性2~3,NL_ばね特性2~3,1,2,-1,-0,0,0,1,0,
86,225,359,ばね特性4~3,NL_ばね特性4~3,1,2,-1,-0,0,0,1,0,
87,226,360,ばね特性5~5,NL_ばね特性5~5,1,2,-1,-0,0,0,1,0,
88,219,361,ばね特性3~3,NL_ばね特性3~3,1,2,-1,-0,0,0,1,0,
89,227,362,ばね特性5~6,NL_ばね特性5~6,1,2,-1,-0,0,0,1,0,
90,216,363,ばね特性2~4,NL_ばね特性2~4,1,2,-1,-0,0,0,1,0,
91,228,364,ばね特性4~4,NL_ばね特性4~4,1,2,-1,-0,0,0,1,0,
92,229,365,ばね特性5~7,NL_ばね特性5~7,1,2,-1,-0,0,0,1,0,
93,206,366,ばね特性2~5,NL_ばね特性2~5,1,2,-1,-0,0,0,1,0,
94,212,367,ばね特性4~5,NL_ばね特性4~5,1,2,-1,-0,0,0,1,0,
95,207,368,ばね特性1~2,NL_ばね特性1~2,1,2,-1,-0,0,0,1,0,
96,230,369,ばね特性4~6,NL_ばね特性4~6,1,2,-1,-0,0,0,1,0,
97,105,370,ばね特性4~7,NL_ばね特性4~7,1,2,-1,-0,0,0,1,0,
98,94,371,ばね特性2~6,NL_ばね特性2~6,1,2,-1,-0,0,0,1,0,
99,234,372,ばね特性5~8,NL_ばね特性5~8,1,2,-1,-0,0,0,1,0,
100,231,373,ばね特性3~4,NL_ばね特性3~4,1,2,-1,-0,0,0,1,0,
101,235,374,ばね特性5~9,NL_ばね特性5~9,1,2,-1,-0,0,0,1,0,
102,236,375,ばね特性5~10,NL_ばね特性5~10,1,2,-1,-0,0,0,1,0,
103,232,376,ばね特性3~5,NL_ばね特性3~5,1,2,-1,-0,0,0,1,0,
104,237,377,ばね特性5~11,NL_ばね特性5~11,1,2,-1,-0,0,0,1,0,
105,238,378,ばね特性5~12,NL_ばね特性5~12,1,2,-1,-0,0,0,1,0,
106,233,379,ばね特性3~6,NL_ばね特性3~6,1,2,-1,-0,0,0,1,0,
107,239,380,ばね特性5~13,NL_ばね特性5~13,1,2,-1,-0,0,0,1,0,
108,240,381,ばね特性5~14,NL_ばね特性5~14,1,2,-1,-0,0,0,1,0,
109,205,382,ばね特性2~7,NL_ばね特性2~7,1,2,-1,-0,0,0,1,0,
110,210,383,ばね特性4~8,NL_ばね特性4~8,1,2,-1,-0,0,0,1,0,
111,102,384,ばね特性4~9,NL_ばね特性4~9,1,2,-1,-0,0,0,1,0,
112,1,385,ばね特性1~3,NL_ばね特性1~3,1,2,-1,-0,0,0,1,0,
